"","crace.WBH","cage.cat","cedu.cat","cfemale","cstate",".freq","cfreq.state","cpercent.state","cregion"
"1",1,1,1,0,"AK",467,21222,0.0220054667443037,"west"
"2",1,2,1,0,"AK",377,21222,0.0177645832300186,"west"
"3",1,3,1,0,"AK",419,21222,0.019743662327528,"west"
"4",1,4,1,0,"AK",343,21222,0.0161624737083912,"west"
"5",1,1,2,0,"AK",958,21222,0.0451418347656727,"west"
"6",1,2,2,0,"AK",1359,21222,0.0640373229980469,"west"
"7",1,3,2,0,"AK",1000,21222,0.0471209138631821,"west"
"8",1,4,2,0,"AK",211,21222,0.00994251202791929,"west"
"9",1,1,3,0,"AK",718,21222,0.0338328145444393,"west"
"10",1,2,3,0,"AK",1219,21222,0.0574403926730156,"west"
"11",1,3,3,0,"AK",1172,21222,0.05522570759058,"west"
"12",1,4,3,0,"AK",188,21222,0.00885873194783926,"west"
"13",1,1,4,0,"AK",194,21222,0.00914145726710558,"west"
"14",1,2,4,0,"AK",706,21222,0.0332673639059067,"west"
"15",1,3,4,0,"AK",995,21222,0.0468853078782558,"west"
"16",1,4,4,0,"AK",135,21222,0.00636132294312119,"west"
"17",2,1,1,0,"AK",13,21222,0.000612571835517883,"west"
"18",2,2,1,0,"AK",16,21222,0.000753934611566365,"west"
"19",2,3,1,0,"AK",5,21222,0.000235604558838531,"west"
"20",2,4,1,0,"AK",8,21222,0.000376967305783182,"west"
"21",2,1,2,0,"AK",43,21222,0.00202619913034141,"west"
"22",2,2,2,0,"AK",40,21222,0.00188483647070825,"west"
"23",2,3,2,0,"AK",22,21222,0.00103666004724801,"west"
"24",2,4,2,0,"AK",1,21222,4.71209132228978e-05,"west"
"25",2,1,3,0,"AK",44,21222,0.00207332009449601,"west"
"26",2,2,3,0,"AK",62,21222,0.00292149651795626,"west"
"27",2,3,3,0,"AK",29,21222,0.00136650644708425,"west"
"28",2,4,3,0,"AK",2,21222,9.42418264457956e-05,"west"
"29",2,1,4,0,"AK",4,21222,0.000188483652891591,"west"
"30",2,2,4,0,"AK",16,21222,0.000753934611566365,"west"
"31",2,3,4,0,"AK",17,21222,0.000801055517513305,"west"
"32",2,4,4,0,"AK",1,21222,4.71209132228978e-05,"west"
"33",3,1,1,0,"AK",14,21222,0.000659692799672484,"west"
"34",3,2,1,0,"AK",25,21222,0.00117802282329649,"west"
"35",3,3,1,0,"AK",14,21222,0.000659692799672484,"west"
"36",3,4,1,0,"AK",4,21222,0.000188483652891591,"west"
"37",3,1,2,0,"AK",41,21222,0.00193195743486285,"west"
"38",3,2,2,0,"AK",32,21222,0.00150786922313273,"west"
"39",3,3,2,0,"AK",20,21222,0.000942418235354125,"west"
"40",3,4,2,0,"AK",2,21222,9.42418264457956e-05,"west"
"41",3,1,3,0,"AK",40,21222,0.00188483647070825,"west"
"42",3,2,3,0,"AK",49,21222,0.00230892468243837,"west"
"43",3,3,3,0,"AK",16,21222,0.000753934611566365,"west"
"44",3,4,3,0,"AK",1,21222,4.71209132228978e-05,"west"
"45",3,1,4,0,"AK",3,21222,0.000141362732392736,"west"
"46",3,2,4,0,"AK",19,21222,0.000895297329407185,"west"
"47",3,3,4,0,"AK",17,21222,0.000801055517513305,"west"
"48",3,4,4,0,"AK",0,21222,0,"west"
"49",1,1,1,1,"AK",386,21222,0.0181886721402407,"west"
"50",1,2,1,1,"AK",296,21222,0.0139477904886007,"west"
"51",1,3,1,1,"AK",378,21222,0.0178117044270039,"west"
"52",1,4,1,1,"AK",361,21222,0.0170106496661901,"west"
"53",1,1,2,1,"AK",753,21222,0.035482045263052,"west"
"54",1,2,2,1,"AK",1055,21222,0.049712561070919,"west"
"55",1,3,2,1,"AK",771,21222,0.0363302230834961,"west"
"56",1,4,2,1,"AK",264,21222,0.0124399205669761,"west"
"57",1,1,3,1,"AK",736,21222,0.0346809923648834,"west"
"58",1,2,3,1,"AK",1301,21222,0.0613043084740639,"west"
"59",1,3,3,1,"AK",1080,21222,0.0508905835449696,"west"
"60",1,4,3,1,"AK",201,21222,0.00947130378335714,"west"
"61",1,1,4,1,"AK",241,21222,0.0113561395555735,"west"
"62",1,2,4,1,"AK",828,21222,0.0390161164104939,"west"
