"marriagedata.rownum","poll","poll.firm","poll.year","id","statenum","statename","region.cat","female","race.wbh","edu.cat","age.cat","age.cat6","age.edu.cat6","educ","age","democrat","republican","black","hispanic","weight","yes.of.opinion.holders","yes.of.all","state","state.initnum","region","no.of.all","no.of.opinion.holders"
"1","Gall2005Aug22","Gall",2005,80001,21,"michigan",2,1,1,3,3,5,27,2,61,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"2","Gall2005Aug22","Gall",2005,80002,10,"georgia",3,0,1,4,3,5,28,4,56,0,0,0,0,NA,0,0,"GA",11,"south",1,1
"3","Gall2005Aug22","Gall",2005,80003,31,"new york",1,0,3,4,1,1,4,3,21,0,0,0,1,NA,1,1,"NY",35,"northeast",0,0
"4","Gall2005Aug22","Gall",2005,80004,28,"new hampshire",1,1,1,4,4,6,34,4,80,1,0,0,0,NA,1,1,"NH",31,"northeast",0,0
"5","Gall2005Aug22","Gall",2005,80005,42,"texas",3,1,1,3,NA,NA,NA,2,NA,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"6","Gall2005Aug22","Gall",2005,80006,12,"illinois",2,1,1,3,4,6,33,2,67,0,0,0,0,NA,0,0,"IL",15,"midwest",1,1
"7","Gall2005Aug22","Gall",2005,80007,48,"wisconsin",2,1,1,1,4,6,31,1,73,1,0,0,0,NA,0,0,"WI",49,"midwest",1,1
"8","Gall2005Aug22","Gall",2005,80008,42,"texas",3,1,3,1,3,5,25,1,64,1,0,0,1,NA,0,0,"TX",44,"south",1,1
"9","Gall2005Aug22","Gall",2005,80009,41,"tennessee",3,1,1,1,NA,NA,NA,1,NA,0,1,0,0,NA,0,0,"TN",43,"south",1,1
"10","Gall2005Aug22","Gall",2005,80010,48,"wisconsin",2,0,1,4,3,4,22,3,53,0,1,0,0,NA,0,0,"WI",49,"midwest",1,1
"11","Gall2005Aug22","Gall",2005,80011,16,"kentucky",3,0,1,2,4,6,32,1,67,0,1,0,0,NA,0,0,"KY",18,"south",1,1
"12","Gall2005Aug22","Gall",2005,80012,48,"wisconsin",2,1,3,4,1,2,10,4,26,0,0,0,1,NA,0,0,"WI",49,"midwest",1,1
"13","Gall2005Aug22","Gall",2005,80013,20,"massachusetts",1,1,1,2,3,5,26,1,64,0,0,0,0,NA,0,0,"MA",20,"northeast",1,1
"14","Gall2005Aug22","Gall",2005,80014,10,"georgia",3,0,1,3,3,4,21,2,52,0,1,0,0,NA,0,0,"GA",11,"south",1,1
"15","Gall2005Aug22","Gall",2005,80015,20,"massachusetts",1,1,1,4,2,3,16,3,42,0,0,0,0,NA,1,1,"MA",20,"northeast",0,0
"16","Gall2005Aug22","Gall",2005,80016,24,"missouri",2,0,1,2,4,6,32,1,85,0,0,0,0,NA,0,0,"MO",25,"midwest",1,1
"17","Gall2005Aug22","Gall",2005,80017,48,"wisconsin",2,0,1,4,4,6,34,4,68,0,1,0,0,NA,0,0,"WI",49,"midwest",1,1
"18","Gall2005Aug22","Gall",2005,80018,42,"texas",3,0,1,4,3,5,28,3,57,0,0,0,0,NA,NA,0,"TX",44,"south",1,NA
"19","Gall2005Aug22","Gall",2005,80019,10,"georgia",3,0,1,2,1,1,2,1,18,0,0,0,0,NA,0,0,"GA",11,"south",1,1
"20","Gall2005Aug22","Gall",2005,80020,31,"new york",1,0,3,4,2,2,10,4,34,0,0,0,1,NA,0,0,"NY",35,"northeast",1,1
"21","Gall2005Aug22","Gall",2005,80021,42,"texas",3,1,1,2,4,6,32,2,80,0,0,0,0,NA,0,0,"TX",44,"south",1,1
"22","Gall2005Aug22","Gall",2005,80022,21,"michigan",2,0,1,4,4,6,34,4,69,0,0,0,0,NA,NA,0,"MI",23,"midwest",1,NA
"23","Gall2005Aug22","Gall",2005,80023,21,"michigan",2,0,1,4,3,5,28,3,59,0,1,0,0,NA,0,0,"MI",23,"midwest",1,1
"24","Gall2005Aug22","Gall",2005,80024,9,"florida",3,0,1,4,4,6,34,3,85,0,0,0,0,NA,0,0,"FL",10,"south",1,1
"25","Gall2005Aug22","Gall",2005,80025,22,"minnesota",2,0,1,4,2,3,16,3,41,0,0,0,0,NA,1,1,"MN",24,"midwest",0,0
"26","Gall2005Aug22","Gall",2005,80026,32,"north carolina",3,0,1,4,3,5,28,3,61,0,1,0,0,NA,0,0,"NC",28,"south",1,1
"27","Gall2005Aug22","Gall",2005,80027,12,"illinois",2,1,2,2,1,1,2,1,20,1,0,1,0,NA,0,0,"IL",15,"midwest",1,1
"28","Gall2005Aug22","Gall",2005,80028,31,"new york",1,1,1,2,4,6,32,2,69,1,0,0,0,NA,0,0,"NY",35,"northeast",1,1
"29","Gall2005Aug22","Gall",2005,80029,48,"wisconsin",2,1,1,4,3,4,22,3,51,1,0,0,0,NA,1,1,"WI",49,"midwest",0,0
"30","Gall2005Aug22","Gall",2005,80030,12,"illinois",2,0,1,2,2,3,14,1,38,0,0,0,0,NA,0,0,"IL",15,"midwest",1,1
"31","Gall2005Aug22","Gall",2005,80031,24,"missouri",2,1,1,2,4,6,32,1,79,0,0,0,0,NA,0,0,"MO",25,"midwest",1,1
"32","Gall2005Aug22","Gall",2005,80032,32,"north carolina",3,1,1,2,3,5,26,1,59,1,0,0,0,NA,0,0,"NC",28,"south",1,1
"33","Gall2005Aug22","Gall",2005,80033,1,"alabama",3,1,1,1,4,6,31,1,79,0,0,0,0,NA,0,0,"AL",2,"south",1,1
"34","Gall2005Aug22","Gall",2005,80034,22,"minnesota",2,0,1,1,1,2,7,1,26,1,0,0,0,NA,0,0,"MN",24,"midwest",1,1
"35","Gall2005Aug22","Gall",2005,80035,20,"massachusetts",1,1,1,1,3,5,25,1,63,0,0,0,0,NA,NA,0,"MA",20,"northeast",1,NA
"36","Gall2005Aug22","Gall",2005,80036,42,"texas",3,0,1,4,2,3,16,3,36,1,0,0,0,NA,1,1,"TX",44,"south",0,0
"37","Gall2005Aug22","Gall",2005,80037,31,"new york",1,1,1,2,4,6,32,2,68,0,1,0,0,NA,0,0,"NY",35,"northeast",1,1
"38","Gall2005Aug22","Gall",2005,80038,32,"north carolina",3,1,1,2,2,3,14,1,37,0,0,0,0,NA,0,0,"NC",28,"south",1,1
"39","Gall2005Aug22","Gall",2005,80039,9,"florida",3,0,1,3,3,5,27,2,63,1,0,0,0,NA,1,1,"FL",10,"south",0,0
"40","Gall2005Aug22","Gall",2005,80040,9,"florida",3,0,1,3,3,5,27,2,58,1,0,0,0,NA,1,1,"FL",10,"south",0,0
"41","Gall2005Aug22","Gall",2005,80041,10,"georgia",3,0,1,4,4,6,34,3,75,0,1,0,0,NA,0,0,"GA",11,"south",1,1
"42","Gall2005Aug22","Gall",2005,80042,18,"maine",1,0,3,4,4,6,34,4,79,1,0,0,1,NA,0,0,"ME",22,"northeast",1,1
