"statelevel.rownum","sstate.initnum","sstate","sstatename","ideology","professional.index","professional.cat","salary","totalday","staffper","citizen.init","year.adoption","consitutional.init","signature","usage","legislative.insulation","p.evang","p.mormon","p.cath","p.metroarea","adjinc.cap","pblack","phisp","p65over","phighsch","pbachelors","demcontrol","pdemocrat","polarization","divided","kerry.04","gore.00","clinton.92","mondale.84","dukakis.88","humphrey.68","mcgovern.72","population","court.type","court.elected","berry.citizen","berry.government","Bryan.1896","tempculture","state.culture"
"1",1,"AK","Alaska",NA,0.226999998092651,2,44392.37890625,173.309997558594,4,1,1956,0,10,31,6,12.4399995803833,3.0031259059906,8.65999984741211,41.5,26288.640625,3.5,4.09999990463257,5.69999980926514,90.4000015258789,28.1000003814697,0,36.6699981689453,NA,50,35.5,27.7000007629395,43.4265289306641,29.8700008392334,36.2999992370605,48.5009117126465,37.3284568786621,632674,"RE",1,32.2350616455078,37.0987281799316,NA,"Individualistic","I"
"2",2,"AL","Alabama",-23.1000003814697,0.0710000023245811,2,6078.35986328125,90.3600006103516,2.30999994277954,0,NA,0,NA,NA,NA,40.5499992370605,0.458273202180862,3.38000011444092,69.9000015258789,23766.470703125,26,1.70000004768372,13,77.5,20.3999996185303,46,68.4700012207031,19.1000003814697,55.5555572509766,36.7999992370605,41.5999984741211,46.176441192627,38.2799987792969,40.2999992370605,57.2008323669434,26.0168399810791,4451493,"PE",1,36.4774703979492,47.0178184509277,66.9599990844727,"Tradistionalistic","T"
"3",3,"AR","Arkansas",-18.2999992370605,0.105999998748302,2,17319.16015625,83.2300033569336,2.17000007629395,1,1910,1,8,113,2,43.0699996948242,0.560113191604614,4.32999992370605,49.4000015258789,22107.6796875,15.6999998092651,3.20000004768372,14,81.6999969482422,18.3999996185303,31,79.9000015258789,19,100,44.5999984741211,45.9000015258789,59.995491027832,38.2900009155273,42.7999992370605,49.4312210083008,30.8269329071045,2678030,"NPE",1,44.2303810119629,53.6463203430176,73.6900024414062,"Tradistionalistic","T"
"4",4,"AZ","Arizona",-18.2000007629395,0.23199999332428,2,25196.55078125,272.209991455078,5.05000019073486,1,1911,1,10,150,3,9.40999984741211,4.87873506546021,18.8700008392334,88.1999969482422,25358.109375,3.09999990463257,25.2999992370605,13,85.0999984741211,24.6000003814697,0,39.6800003051758,42.5,55.5555572509766,44.4000015258789,44.7000007629395,48.6998291015625,32.5400009155273,39.2999992370605,38.9982490539551,33.0156059265137,5165274,"RE",1,41.7542304992676,25.1970996856689,NA,"Moral/Traditional","MT"
"5",5,"CA","California",-6.19999980926514,0.625999987125397,3,107053.1015625,378.230010986328,21.1700000762939,1,1911,1,5,275,1,7.15999984741211,1.55762696266174,29.6399993896484,96.6999969482422,32334.119140625,6.69999980926514,32.4000015258789,10.6000003814697,81.1999969482422,27.5,38,58.6800003051758,52.5999984741211,44.4444389343262,54.2999992370605,53.4000015258789,58.5219993591309,41.2700004577637,48.2000007629395,48.3362121582031,43.0288619995117,34000446,"RE",1,54.0307083129883,58.1791305541992,48.5099983215332,"Moral/Individual","MI"
"6",6,"CO","Colorado",-8.60000038146973,0.202000007033348,2,28060.5390625,209.330001831055,2.07999992370605,1,1910,1,5,178,4,10.5799999237061,2.1348888874054,17.4099998474121,83.9000015258789,33018.33984375,3.79999995231628,17.1000003814697,9.69999980926514,89.6999969482422,34.5999984741211,0,44.7000007629395,46.2000007629395,66.6666717529297,47,42.4000015258789,52.8026313781738,35.1199989318848,46.0999984741211,45.0188636779785,35.5900573730469,4323410,"RE",1,46.1278800964355,39.3232498168945,84.9400024414062,"Moralistic","M"
"7",7,"CT","Connecticut",-4.40000009536743,0.189999997615814,2,20847.26953125,245.789993286133,2.36999988555908,0,NA,0,NA,NA,NA,2.40000009536743,0.281518399715424,40.25,95.5999984741211,41392.390625,9.10000038146973,9.39999961853027,13.8000001907349,88.1999969482422,31.6000003814697,0,59.0099983215332,50.2000007629395,100,54.2999992370605,55.9000015258789,54.1223182678223,38.8300018310547,47.4000015258789,52.75146484375,40.6582641601562,3410079,"AP",0,65.7561264038086,63.1541404724121,32.5299987792969,"Moral/Individual","MI"
"8",8,"DC","D.C.",NA,NA,NA,92520,NA,NA,NA,NA,NA,NA,NA,NA,9.85000038146973,0.10489509999752,27.9799995422363,100,22800,59.9700012207031,7.90000009536743,12.1999998092651,83.1999969482422,38.2999992370605,100,83.3300018310547,NA,NA,89.1999969482422,85.1999969482422,90.2922973632812,85.379997253418,85.3000030517578,81.819465637207,78.3694534301758,572000,".",1,NA,NA,NA,"",""
"9",9,"DE","Delaware",-12.1999998092651,0.148000001907349,2,32807.44921875,97.120002746582,0.889999985694885,0,NA,0,NA,NA,NA,5.1399998664856,0.356128096580505,19.2999992370605,80,31500.1796875,19.2000007629395,4.80000019073486,13,86.0999984741211,24,0,49.5900001525879,35.2999992370605,100,53.4000015258789,55,55.1934089660645,39.9300003051758,43.7000007629395,47.9774932861328,39.667724609375,786234,"AP",0,55.0438499450684,65.0175628662109,43.0900001525879,"Individualistic","I"
"10",10,"FL","Florida",-17.1000003814697,0.223000004887581,3,34892.75,130.649993896484,11.7200002670288,1,1968,1,8,16,5,13.9799995422363,0.470901012420654,16.1700000762939,92.8000030517578,28285.58984375,14.6000003814697,16.7999992370605,17.6000003814697,84,22.7999992370605,0,42.1500015258789,31.2000007629395,33.3333320617676,47.0999984741211,48.7999992370605,48.8171195983887,34.6599998474121,38.7999992370605,43.2843971252441,27.8785552978516,16054328,"RE",1,45.055061340332,37.1711311340332,70.4599990844727,"Individual/Traditional","IT"
